num_nodes,num_samples,edge_prob,Algorithm,SHD,CHD
8,500,0.2,GES,5.0,
8,100,0.2,MCMC,11.0,4
8,100,0.2,GES,7.0,
8,1000,0.2,MCMC,6.0,2
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,6.0,1
8,500,0.2,GES,4.0,
8,100,0.2,MCMC,5.0,2
8,100,0.2,GES,3.0,
8,1000,0.2,MCMC,8.0,2
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,7.0,3
8,500,0.2,GES,3.0,
8,100,0.2,MCMC,4.0,3
8,100,0.2,GES,4.0,
8,1000,0.2,MCMC,9.0,3
8,1000,0.2,GES,2.0,
8,500,0.2,MCMC,7.0,2
8,500,0.2,GES,2.0,
8,100,0.2,MCMC,8.0,3
8,100,0.2,GES,2.0,
8,1000,0.2,MCMC,6.0,1
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,6.0,2
8,500,0.2,GES,3.0,
8,100,0.2,MCMC,8.0,1
8,100,0.2,GES,7.0,
8,1000,0.2,MCMC,10.0,3
8,1000,0.2,GES,8.0,
8,500,0.2,MCMC,10.0,3
8,500,0.2,GES,6.0,
8,100,0.2,MCMC,6.0,3
8,100,0.2,GES,6.0,
8,1000,0.2,MCMC,7.0,5
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,7.0,3
8,500,0.2,GES,3.0,
8,100,0.2,MCMC,8.0,3
8,100,0.2,GES,2.0,
8,1000,0.2,MCMC,8.0,0
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,6.0,1
8,500,0.2,GES,5.0,
8,100,0.2,MCMC,4.0,4
8,100,0.2,GES,3.0,
8,1000,0.2,MCMC,16.0,5
8,1000,0.2,GES,5.0,
8,500,0.2,MCMC,6.0,4
8,500,0.2,GES,5.0,
8,100,0.2,MCMC,15.0,3
8,100,0.2,GES,11.0,
8,1000,0.2,MCMC,10.0,1
8,1000,0.2,GES,4.0,
8,500,0.2,MCMC,13.0,1
8,500,0.2,GES,7.0,
8,100,0.2,MCMC,12.0,1
8,100,0.2,GES,7.0,
8,1000,0.2,MCMC,6.0,3
8,1000,0.2,GES,5.0,
8,500,0.2,MCMC,13.0,4
8,500,0.2,GES,6.0,
8,100,0.2,MCMC,10.0,2
8,100,0.2,GES,9.0,
8,1000,0.2,MCMC,5.0,2
8,1000,0.2,GES,5.0,
8,500,0.2,MCMC,6.0,4
8,500,0.2,GES,3.0,
8,100,0.2,MCMC,9.0,3
8,100,0.2,GES,8.0,
8,1000,0.2,MCMC,9.0,3
8,1000,0.2,GES,2.0,
8,500,0.2,MCMC,4.0,4
8,500,0.2,GES,2.0,
8,100,0.2,MCMC,6.0,3
8,100,0.2,GES,2.0,
8,1000,0.2,MCMC,5.0,4
8,1000,0.2,GES,1.0,
8,500,0.2,MCMC,6.0,2
8,500,0.2,GES,1.0,
8,100,0.2,MCMC,8.0,1
8,100,0.2,GES,3.0,
8,1000,0.2,MCMC,5.0,4
8,1000,0.2,GES,8.0,
8,500,0.2,MCMC,8.0,2
8,500,0.2,GES,4.0,
8,100,0.2,MCMC,6.0,3
8,100,0.2,GES,5.0,
8,1000,0.2,MCMC,8.0,3
8,1000,0.2,GES,9.0,
8,500,0.2,MCMC,7.0,2
8,500,0.2,GES,5.0,
8,100,0.2,MCMC,6.0,2
8,100,0.2,GES,5.0,
8,1000,0.2,MCMC,7.0,1
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,7.0,2
8,500,0.2,GES,1.0,
8,100,0.2,MCMC,7.0,3
8,100,0.2,GES,1.0,
8,1000,0.2,MCMC,8.0,4
8,1000,0.2,GES,5.0,
8,500,0.2,MCMC,8.0,3
8,500,0.2,GES,3.0,
8,100,0.2,MCMC,9.0,2
8,100,0.2,GES,8.0,
8,1000,0.2,MCMC,7.0,4
8,1000,0.2,GES,1.0,
8,500,0.2,MCMC,5.0,3
8,500,0.2,GES,1.0,
8,100,0.2,MCMC,4.0,3
8,100,0.2,GES,1.0,
6,1000,0.8,MCMC,15.0,4
6,1000,0.8,GES,12.0,
6,500,0.8,MCMC,13.0,3
6,500,0.8,GES,11.0,
6,100,0.8,MCMC,11.0,2
6,100,0.8,GES,13.0,
6,1000,0.8,MCMC,8.0,3
6,1000,0.8,GES,7.0,
6,500,0.8,MCMC,6.0,3
6,500,0.8,GES,11.0,
6,100,0.8,MCMC,9.0,3
6,100,0.8,GES,15.0,
6,1000,0.8,MCMC,21.0,2
6,1000,0.8,GES,7.0,
6,500,0.8,MCMC,10.0,1
6,500,0.8,GES,13.0,
6,100,0.8,MCMC,11.0,2
6,100,0.8,GES,18.0,
6,1000,0.8,MCMC,2.0,2
6,1000,0.8,GES,6.0,
6,500,0.8,MCMC,7.0,3
