num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD
5,2,0.8,1000,MCMC,0,2
5,2,0.8,500,MCMC,5,2
5,2,0.8,100,MCMC,6,1
5,2,0.8,1000,MCMC,3,0
5,2,0.8,500,MCMC,4,0
5,2,0.8,100,MCMC,12,1
5,2,0.6,1000,MCMC,5,2
5,2,0.6,500,MCMC,5,2
5,2,0.6,100,MCMC,2,1
5,2,0.6,1000,MCMC,6,1
5,2,0.6,500,MCMC,2,2
5,2,0.6,100,MCMC,4,0
5,2,0.4,1000,MCMC,4,2
5,2,0.4,500,MCMC,4,1
5,2,0.4,100,MCMC,4,2
5,2,0.4,1000,MCMC,1,0
5,2,0.4,500,MCMC,1,0
5,2,0.4,100,MCMC,2,1
5,2,0.2,1000,MCMC,0,1
5,2,0.2,500,MCMC,1,0
5,2,0.2,100,MCMC,0,0
5,2,0.2,1000,MCMC,1,1
5,2,0.2,500,MCMC,1,0
5,2,0.2,100,MCMC,0,1
8,4,0.8,1000,MCMC,32,4
8,4,0.8,500,MCMC,16,4
8,4,0.8,100,MCMC,23,4
8,2,0.8,1000,MCMC,17,6
8,2,0.8,500,MCMC,34,6
8,2,0.8,100,MCMC,17,5
8,4,0.6,1000,MCMC,17,3
8,4,0.6,500,MCMC,11,3
8,4,0.6,100,MCMC,11,3
8,2,0.6,1000,MCMC,16,4
8,2,0.6,500,MCMC,18,5
8,2,0.6,100,MCMC,10,4
8,4,0.4,1000,MCMC,7,1
8,4,0.4,500,MCMC,15,2
8,4,0.4,100,MCMC,19,4
8,2,0.4,1000,MCMC,6,2
8,2,0.4,500,MCMC,11,3
8,2,0.4,100,MCMC,10,5
8,4,0.2,1000,MCMC,9,3
8,4,0.2,500,MCMC,9,1
8,4,0.2,100,MCMC,9,0
8,2,0.2,1000,MCMC,9,4
8,2,0.2,500,MCMC,8,2
8,2,0.2,100,MCMC,8,3
5,2,0.8,1000,MCMC,0,2
5,2,0.8,500,MCMC,5,2
5,2,0.8,100,MCMC,9,2
5,2,0.8,1000,MCMC,2,2
5,2,0.8,500,MCMC,2,1
5,2,0.8,100,MCMC,5,1
5,2,0.6,1000,MCMC,0,0
5,2,0.6,500,MCMC,2,2
5,2,0.6,100,MCMC,6,1
5,2,0.6,1000,MCMC,1,1
5,2,0.6,500,MCMC,1,2
5,2,0.6,100,MCMC,4,0
5,2,0.4,1000,MCMC,1,1
5,2,0.4,500,MCMC,1,0
5,2,0.4,100,MCMC,2,0
5,2,0.4,1000,MCMC,1,1
5,2,0.4,500,MCMC,2,0
5,2,0.4,100,MCMC,2,2
