num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD,CSHD
20,2,0.8,1000,Greedy,153.0,16.0,213.0
20,2,0.8,1000,GES,191.0,,
20,2,0.8,500,Greedy,152.0,15.0,200.0
20,2,0.8,500,GES,148.0,,
20,2,0.8,100,Greedy,155.0,9.0,183.0
20,2,0.8,100,GES,170.0,,
20,10,0.6,1000,Greedy,112.0,15.0,170.0
20,10,0.6,1000,GES,177.0,,
20,10,0.6,500,Greedy,136.0,13.0,170.0
20,10,0.6,500,GES,191.0,,
20,10,0.6,100,Greedy,128.0,13.0,139.0
20,10,0.6,100,GES,173.0,,
20,2,0.6,1000,Greedy,157.0,15.0,197.0
20,2,0.6,1000,GES,134.0,,
20,2,0.6,500,Greedy,111.0,14.0,166.0
20,2,0.6,500,GES,151.0,,
20,2,0.6,100,Greedy,115.0,10.0,135.0
20,2,0.6,100,GES,123.0,,
20,10,0.4,1000,Greedy,74.0,14.0,97.0
20,10,0.4,1000,GES,112.0,,
20,10,0.4,500,Greedy,60.0,11.0,84.0
20,10,0.4,500,GES,100.0,,
20,10,0.4,100,Greedy,89.0,12.0,96.0
20,10,0.4,100,GES,83.0,,
20,2,0.4,1000,Greedy,131.0,16.0,156.0
20,2,0.4,1000,GES,131.0,,
20,2,0.4,500,Greedy,135.0,15.0,151.0
20,2,0.4,500,GES,133.0,,
20,2,0.4,100,Greedy,111.0,11.0,123.0
20,2,0.4,100,GES,100.0,,
20,10,0.2,1000,Greedy,32.0,13.0,41.0
20,10,0.2,1000,GES,21.0,,
20,10,0.2,500,Greedy,35.0,13.0,42.0
20,10,0.2,500,GES,17.0,,
20,10,0.2,100,Greedy,29.0,9.0,33.0
20,10,0.2,100,GES,16.0,,
20,2,0.2,1000,Greedy,30.0,12.0,59.0
20,2,0.2,1000,GES,60.0,,
20,2,0.2,500,Greedy,59.0,13.0,84.0
20,2,0.2,500,GES,84.0,,
20,2,0.2,100,Greedy,37.0,10.0,59.0
20,2,0.2,100,GES,53.0,,
6,3,0.8,1000,Greedy,11.0,2.0,12.0
6,3,0.8,1000,GES,9.0,,
6,3,0.8,500,Greedy,15.0,1.0,15.0
6,3,0.8,500,GES,12.0,,
6,3,0.8,100,Greedy,10.0,3.0,12.0
6,3,0.8,100,GES,11.0,,
6,2,0.8,1000,Greedy,4.0,4.0,11.0
6,2,0.8,1000,GES,20.0,,
6,2,0.8,500,Greedy,4.0,3.0,7.0
6,2,0.8,500,GES,21.0,,
6,2,0.8,100,Greedy,8.0,3.0,9.0
6,2,0.8,100,GES,21.0,,
6,3,0.6,1000,Greedy,13.0,2.0,15.0
6,3,0.6,1000,GES,16.0,,
6,3,0.6,500,Greedy,12.0,2.0,13.0
6,3,0.6,500,GES,15.0,,
6,3,0.6,100,Greedy,6.0,3.0,8.0
6,3,0.6,100,GES,6.0,,
6,2,0.6,1000,Greedy,0.0,0.0,1.0
6,2,0.6,1000,GES,13.0,,
6,2,0.6,500,Greedy,11.0,3.0,13.0
6,2,0.6,500,GES,12.0,,
6,2,0.6,100,Greedy,7.0,3.0,10.0
6,2,0.6,100,GES,13.0,,
6,3,0.4,1000,Greedy,0.0,0.0,0.0
6,3,0.4,1000,GES,5.0,,
6,3,0.4,500,Greedy,4.0,1.0,7.0
6,3,0.4,500,GES,5.0,,
6,3,0.4,100,Greedy,8.0,3.0,8.0
6,3,0.4,100,GES,5.0,,
6,2,0.4,1000,Greedy,8.0,2.0,12.0
6,2,0.4,1000,GES,8.0,,
6,2,0.4,500,Greedy,11.0,3.0,13.0
6,2,0.4,500,GES,10.0,,
6,2,0.4,100,Greedy,14.0,2.0,14.0
6,2,0.4,100,GES,7.0,,
6,3,0.2,1000,Greedy,0.0,0.0,0.0
6,3,0.2,1000,GES,2.0,,
6,3,0.2,500,Greedy,0.0,0.0,0.0
6,3,0.2,500,GES,2.0,,
6,3,0.2,100,Greedy,3.0,1.0,3.0
6,3,0.2,100,GES,4.0,,
6,2,0.2,1000,Greedy,0.0,0.0,0.0
6,2,0.2,1000,GES,4.0,,
6,2,0.2,500,Greedy,0.0,0.0,1.0
6,2,0.2,500,GES,4.0,,
6,2,0.2,100,Greedy,3.0,2.0,3.0
6,2,0.2,100,GES,4.0,,
4,2,0.8,1000,Greedy,0.0,0.0,1.0
4,2,0.8,1000,GES,7.0,,
4,2,0.8,500,Greedy,2.0,0.0,2.0
4,2,0.8,500,GES,7.0,,
4,2,0.8,100,Greedy,7.0,0.0,7.0
4,2,0.8,100,GES,5.0,,
4,2,0.8,1000,Greedy,2.0,2.0,2.0
4,2,0.8,1000,GES,7.0,,
4,2,0.8,500,Greedy,4.0,2.0,5.0
4,2,0.8,500,GES,9.0,,
4,2,0.8,100,Greedy,0.0,0.0,0.0
4,2,0.8,100,GES,9.0,,
4,2,0.6,1000,Greedy,0.0,0.0,0.0
4,2,0.6,1000,GES,0.0,,
4,2,0.6,500,Greedy,0.0,0.0,0.0
4,2,0.6,500,GES,0.0,,
4,2,0.6,100,Greedy,0.0,0.0,0.0
4,2,0.6,100,GES,1.0,,
4,2,0.6,1000,Greedy,1.0,0.0,3.0
4,2,0.6,1000,GES,4.0,,
4,2,0.6,500,Greedy,1.0,0.0,2.0
4,2,0.6,500,GES,4.0,,
4,2,0.6,100,Greedy,2.0,0.0,2.0
4,2,0.6,100,GES,4.0,,
4,2,0.4,1000,Greedy,8.0,1.0,8.0
4,2,0.4,1000,GES,1.0,,
4,2,0.4,500,Greedy,0.0,0.0,1.0
4,2,0.4,500,GES,1.0,,
4,2,0.4,100,Greedy,3.0,0.0,4.0
4,2,0.4,100,GES,1.0,,
4,2,0.4,1000,Greedy,0.0,1.0,0.0
4,2,0.4,1000,GES,0.0,,
4,2,0.4,500,Greedy,0.0,1.0,0.0
4,2,0.4,500,GES,0.0,,
4,2,0.4,100,Greedy,0.0,1.0,0.0
4,2,0.4,100,GES,0.0,,
4,2,0.2,1000,Greedy,0.0,0.0,0.0
4,2,0.2,1000,GES,1.0,,
4,2,0.2,500,Greedy,0.0,0.0,0.0
4,2,0.2,500,GES,1.0,,
4,2,0.2,100,Greedy,0.0,0.0,0.0
4,2,0.2,100,GES,1.0,,
4,2,0.2,1000,Greedy,2.0,0.0,2.0
4,2,0.2,1000,GES,4.0,,
4,2,0.2,500,Greedy,2.0,2.0,2.0
4,2,0.2,500,GES,2.0,,
4,2,0.2,100,Greedy,2.0,2.0,2.0
4,2,0.2,100,GES,2.0,,
20,10,0.8,1000,Greedy,171.0,16.0,221.0
20,10,0.8,1000,GES,210.0,,
20,10,0.8,500,Greedy,172.0,16.0,210.0
20,10,0.8,500,GES,203.0,,
20,10,0.8,100,Greedy,148.0,14.0,178.0
20,10,0.8,100,GES,177.0,,
20,2,0.8,1000,Greedy,164.0,15.0,216.0
20,2,0.8,1000,GES,188.0,,
20,2,0.8,500,Greedy,209.0,16.0,234.0
20,2,0.8,500,GES,189.0,,
20,2,0.8,100,Greedy,161.0,11.0,180.0
20,2,0.8,100,GES,183.0,,
20,10,0.6,1000,Greedy,150.0,15.0,181.0
20,10,0.6,1000,GES,173.0,,
20,10,0.6,500,Greedy,139.0,15.0,164.0
20,10,0.6,500,GES,140.0,,
20,10,0.6,100,Greedy,106.0,9.0,126.0
20,10,0.6,100,GES,123.0,,
20,2,0.6,1000,Greedy,161.0,16.0,195.0
20,2,0.6,1000,GES,171.0,,
20,2,0.6,500,Greedy,157.0,14.0,189.0
20,2,0.6,500,GES,173.0,,
20,2,0.6,100,Greedy,110.0,12.0,154.0
20,2,0.6,100,GES,136.0,,
20,10,0.4,1000,Greedy,107.0,14.0,142.0
20,10,0.4,1000,GES,153.0,,
20,10,0.4,500,Greedy,98.0,11.0,126.0
20,10,0.4,500,GES,131.0,,
20,10,0.4,100,Greedy,97.0,13.0,107.0
20,10,0.4,100,GES,135.0,,
20,2,0.4,1000,Greedy,93.0,10.0,121.0
20,2,0.4,1000,GES,83.0,,
20,2,0.4,500,Greedy,58.0,9.0,95.0
20,2,0.4,500,GES,90.0,,
20,2,0.4,100,Greedy,96.0,11.0,99.0
20,2,0.4,100,GES,73.0,,
20,10,0.2,1000,Greedy,43.0,11.0,51.0
20,10,0.2,1000,GES,41.0,,
20,10,0.2,500,Greedy,47.0,7.0,53.0
20,10,0.2,500,GES,33.0,,
20,10,0.2,100,Greedy,37.0,10.0,43.0
20,10,0.2,100,GES,43.0,,
20,2,0.2,1000,Greedy,80.0,13.0,92.0
20,2,0.2,1000,GES,2.0,,
20,2,0.2,500,Greedy,37.0,14.0,57.0
20,2,0.2,500,GES,3.0,,
20,2,0.2,100,Greedy,33.0,8.0,49.0
20,2,0.2,100,GES,38.0,,
6,3,0.8,1000,Greedy,4.0,0.0,7.0
6,3,0.8,1000,GES,7.0,,
6,3,0.8,500,Greedy,5.0,2.0,8.0
6,3,0.8,500,GES,8.0,,
6,3,0.8,100,Greedy,9.0,3.0,10.0
6,3,0.8,100,GES,6.0,,
6,2,0.8,1000,Greedy,12.0,3.0,14.0
6,2,0.8,1000,GES,14.0,,
6,2,0.8,500,Greedy,9.0,4.0,13.0
6,2,0.8,500,GES,19.0,,
6,2,0.8,100,Greedy,13.0,2.0,14.0
6,2,0.8,100,GES,18.0,,
6,3,0.6,1000,Greedy,13.0,2.0,15.0
6,3,0.6,1000,GES,0.0,,
6,3,0.6,500,Greedy,11.0,3.0,13.0
6,3,0.6,500,GES,0.0,,
6,3,0.6,100,Greedy,15.0,3.0,15.0
6,3,0.6,100,GES,7.0,,
6,2,0.6,1000,Greedy,3.0,2.0,4.0
6,2,0.6,1000,GES,8.0,,
6,2,0.6,500,Greedy,5.0,3.0,6.0
6,2,0.6,500,GES,8.0,,
6,2,0.6,100,Greedy,6.0,0.0,6.0
6,2,0.6,100,GES,8.0,,
6,3,0.4,1000,Greedy,8.0,4.0,9.0
6,3,0.4,1000,GES,1.0,,
6,3,0.4,500,Greedy,4.0,2.0,4.0
6,3,0.4,500,GES,1.0,,
6,3,0.4,100,Greedy,5.0,2.0,5.0
6,3,0.4,100,GES,9.0,,
6,2,0.4,1000,Greedy,0.0,0.0,0.0
6,2,0.4,1000,GES,6.0,,
6,2,0.4,500,Greedy,4.0,2.0,4.0
6,2,0.4,500,GES,7.0,,
6,2,0.4,100,Greedy,4.0,2.0,4.0
6,2,0.4,100,GES,7.0,,
6,3,0.2,1000,Greedy,0.0,0.0,0.0
6,3,0.2,1000,GES,1.0,,
6,3,0.2,500,Greedy,1.0,0.0,1.0
6,3,0.2,500,GES,1.0,,
6,3,0.2,100,Greedy,1.0,0.0,1.0
6,3,0.2,100,GES,1.0,,
6,2,0.2,1000,Greedy,0.0,0.0,0.0
6,2,0.2,1000,GES,5.0,,
6,2,0.2,500,Greedy,0.0,0.0,0.0
6,2,0.2,500,GES,5.0,,
6,2,0.2,100,Greedy,5.0,3.0,5.0
6,2,0.2,100,GES,6.0,,
4,2,0.8,1000,Greedy,5.0,2.0,6.0
4,2,0.8,1000,GES,4.0,,
4,2,0.8,500,Greedy,4.0,1.0,4.0
4,2,0.8,500,GES,4.0,,
4,2,0.8,100,Greedy,3.0,2.0,4.0
4,2,0.8,100,GES,4.0,,
4,2,0.8,1000,Greedy,3.0,2.0,5.0
4,2,0.8,1000,GES,6.0,,
4,2,0.8,500,Greedy,9.0,3.0,9.0
4,2,0.8,500,GES,9.0,,
4,2,0.8,100,Greedy,9.0,1.0,9.0
4,2,0.8,100,GES,6.0,,
4,2,0.6,1000,Greedy,5.0,1.0,5.0
4,2,0.6,1000,GES,0.0,,
4,2,0.6,500,Greedy,4.0,1.0,4.0
4,2,0.6,500,GES,6.0,,
4,2,0.6,100,Greedy,7.0,1.0,7.0
4,2,0.6,100,GES,4.0,,
4,2,0.6,1000,Greedy,0.0,0.0,0.0
4,2,0.6,1000,GES,1.0,,
4,2,0.6,500,Greedy,0.0,0.0,0.0
4,2,0.6,500,GES,1.0,,
4,2,0.6,100,Greedy,3.0,1.0,3.0
4,2,0.6,100,GES,3.0,,
4,2,0.4,1000,Greedy,0.0,0.0,0.0
4,2,0.4,1000,GES,2.0,,
4,2,0.4,500,Greedy,2.0,0.0,2.0
4,2,0.4,500,GES,2.0,,
4,2,0.4,100,Greedy,0.0,0.0,0.0
4,2,0.4,100,GES,4.0,,
